Master System,Genesis,Game Gear,Sega CD,Sega 32X,Saturn,Dreamcast
,Double Dragon 3: The Rosetta Stone,Sonic the Hedgehog 2,,,Revolution X,Sega Rally 2
,Double Dragon V: The Shadow Falls,Sonic the Hedgehog Triple Trouble,,,Rise 2 Resurrection,Sega Smash Pack Volume 1
,Dr. Robotnik's Mean Bean Machine,Space Harrier,,,Road & Track Presents The Need for Speed,Sega Swirl
,Dragon's Fury,Spider-Man and the X-Men in Arcade's Revenge,,,Road Rash,Seventh Cross Evolution
,Dragon's Revenge,Spider-Man vs. The Kingpin,,,Robo Pit,Shadow Man
,Dragon: The Bruce Lee Story,Spider-Man: Return of the Sinister Six,,,Robotica,Shenmue
,Dune II: Battle for Arrakis,Sports Illustrated: Championship Football & Baseball,,,Romance of the Three Kingdoms IV: Wall of Fire,Silent Scope
,Dungeons & Dragons: Warriors of the Eternal Sun,Sports Trivia,,,Saturn Bomberman,Silver
,Dynamite Duke,Sports Trivia: Championship Edition,,,Scorcher,Skies of Arcadia
,Dynamite Headdy,Star Trek Generations: Beyond the Nexus,,,Scud: The Disposable Assassin,Slave Zero
,ESPN Baseball Tonight,Star Trek: The Next Generation: The Advanced Holodeck Tutorial,,,Sega Ages,Sno-Cross Championship Racing
,ESPN National Hockey Night,Star Wars,,,Sega Rally Championship,Soldier of Fortune
,ESPN Speedworld,Stargate,,,Sega Rally Championship Plus NetLink Edition,Sonic Adventure
,ESPN Sunday Night NFL,Streets of Rage,,,Sega Touring Car Championship,Sonic Adventure 2
,ESWAT: City Under Siege,Streets of Rage 2,,,Sega Worldwide Soccer 97,Sonic Shuffle
,Earnest Evans,Strider II,,,Sega Worldwide Soccer 98,Soul Fighter
,Earth Defense,Super Columns,,,Shanghai: Triple-Threat,SoulCalibur
,Earthworm Jim,Super Golf,,,Shellshock,South Park Rally
,Earthworm Jim 2,Super Monaco GP,,,Shining Force III,South Park: Chef's Luv Shack
,Ecco Jr.,Super Off Road,,,Shining the Holy Ark,Space Channel 5
,Ecco the Dolphin,Super Space Invaders,,,Shining Wisdom,Spawn: In the Demon's Hand
,Ecco: The Tides of Time,Super Star Wars: Return of the Jedi,,,Shinobi Legions,Spec Ops II: Omega Squad
,El Viento,Surf Ninjas,,,Shockwave Assault,Speed Devils
,Elemental Master,T2: The Arcade Game,,,SimCity 2000,Speed Devils Online Racing
,Eternal Champions,Tails Adventures,,,Skeleton Warriors,Spider-Man
,"Evander Holyfield's ""Real Deal"" Boxing",TaleSpin,,,Sky Target,Spirit of Speed 1937
,Ex-Mutants,Taz in Escape from Mars,,,Slam 'n Jam '96 Featuring Magic & Kareem,Sports Jam
